episode_number_overall,season,episode_number_in_season,Title,Directed by,Written by,original_air_date,english_air_date,rating,votes,description
257,12,15,"""Meeting""Transcription: ""Deai"" (Japanese: 出会い)",Shigeki Kawai,Junki Takegami,2012-04-05,2014-08-30,6.1,214,A look back into the early years when Naruto and Sasuke first met and got to know each other.
258,12,16,"""Rivals""Transcription: ""Raibaru"" (Japanese: ライバル)",Kiyomu Fukuda,Junki Takegami,2012-04-12,2014-09-06,5.7,206,"During the Chunin Exam, Sasuke witnesses Naruto's growth as a shinobi and comes to acknowledge his teammate as a rival that he doesn't want to lose to."
259,12,17,"""Rift""Transcription: ""Kiretsu"" (Japanese: 亀裂)",Noriyuki Abe,Junki Takegami,2012-04-19,2014-09-13,5.7,210,"Sasuke's defeat to Gaara, and later Itachi, forces him to realize that he is not strong enough to get revenge against his older brother. To make matters worse, his jealousy of Naruto's growth deepens Sasuke's thirst for power."
260,12,18,"""Parting""Transcription: ""Ribetsu"" (Japanese: 離別)",Yuusuke Onoda,Katsuhiko Chiba,2012-04-26,2014-09-20,6,206,Naruto and Sasuke clash in battle.
261,12,19,"""For My Friend""Transcription: ""Tomo no Tame ni"" (Japanese: 友のために)",Naoki Horiuchi,Masahiro Hikokubo,2012-05-03,2014-09-27,7.8,326,"The Allied Shinobi Forces are on standby, ready to confront Madara's army of reanimated shinobi and 100,000 White Zetsu. But distrust still exists among the Allied Shinobi Forces, who were once sworn enemies until recently. To foster unity among the troops, Gaara delivers a speech about the reasons why he is fighting, and what it means for the future of all shinobi."
262,12,20,"""War Begins""Transcription: ""Kaisen!"" (Japanese: 開戦!)",Masaaki Kumagai,Shin Yoshida,2012-05-10,2014-10-04,8.2,317,Kankuro's commando unit enters enemy territory to set up a stronghold for the Allied Shinobi Forces. They are immediately ambushed by the Akatsuki's own commando unit comprised of the reanimated Deidara and Sasori. The Fourth Great Ninja War has officially begun.
263,12,21,"""Sai and Shin""Transcription: ""Sai to Shin"" (Japanese: サイとシン)",Hisashi Ishii,Shin Yoshida,2012-05-17,2014-10-11,7.9,305,"The Allied Shinobi Forces' commando unit engages with the Akatsuki in the first wave of battle. During the fight, Sai is reunited with his brother Shin who has been reanimated and is now under the Akatsuki's control."
264,12,22,"""Secrets of the Reanimation Jutsu""Transcription: ""Edo Tensei no Himitsu"" (Japanese: 穢土転生の秘密)",Kiyomu Fukuda,Yasuyuki Suzuki,2012-05-24,2014-10-18,7.8,298,"Under the guidance of Killer Bee, Naruto enters the final stage of training to master the Tailed Beast Bomb, a Jinchuriki's most powerful technique. Meanwhile, Kabuto agrees to divulge the secret behind the Reanimation Jutsu to Madara as a token of trust."
265,12,23,"""An Old Nemesis Returns""Transcription: ""Shukuteki to no Saikai"" (Japanese: 宿敵との再会)",Yuusuke Onoda,Shin Yoshida,2012-05-31,2014-10-25,7.9,307,"The commando unit is in hot water as they engage the reanimated Kekkei Genkai shinobi, which include Zabuza Momochi and Haku. Luckily, Kakashi and his unit arrive in time to assist them. Realizing they no longer have control over their bodies, Haku and Zabuza implore Kakashi to stop them at all costs."
266,12,24,"""The First and Last Opponent""Transcription: ""Saisho no Teki, Saigo no Teki"" (Japanese: 最初の敵, 最後の敵)",Kanryou Kishikawa,Shin Yoshida,2012-06-07,2014-11-01,8.1,314,"Kakashi and his unit devise a strategy to take on the Kekkei Genkai shinobi, but it's foiled by Kabuto, who uses the Reanimation Jutsu to summon the most powerful members of the Seven Ninja Swordsmen of the Mist. As the battle intensifies, Kakashi is determined to bring an end to this meaningless war and free the souls of Zabuza and Haku."
267,12,25,"""The Brilliant Military Advisor of the Hidden Leaf""Transcription: ""Konoha no Tensai Gunshi"" (Japanese: 木ノ葉の天才軍師)",Hideki Takayama,Masahiro Hikokubo,2012-06-21,2014-11-08,7.6,282,"The Akatsuki dispatch an army of powerful reanimated shinobi and White Zetsu across the war zone, causing chaos within the Allied Shinobi Forces' chain of command. Taking the matter seriously, the Raikage plans to join the battle but is halted by Shikaku Nara, who quickly devises a strategy to deal with the situation."
268,12,26,"""Battleground!""Transcription: ""Sorezore no Gekisen!!"" (Japanese: それぞれの激戦!!)",Hisashi Ishii,Masahiro Hikokubo,2012-06-28,2014-11-15,7.6,285,"The Feudal Lords gather at a fortified palace, and Black Zetsu arrives at the outside. Black Zetsu infiltrates the fortress but the Lords were fake and forces himself to escape from the premises and maintains his surveillance on the ground. Meanwhile at the coastline, White Zetsus and the undead ninjas start their assault. Hyuga Hizashi confronts his brother Hiashi and reiterates that his death is for the sake of the entire Hyuga clan. At the desert, orders from headquarters telling Shikamaru to assist Darui's division and Temari becomes worried as they're facing a ..."
269,12,27,"""Forbidden Words""Transcription: ""Enu Jī Wādo"" (Japanese: NGワード)",Katsumi Ono,Masahiro Hikokubo,2012-07-05,2014-11-22,7.8,285,"Atsui, Samui, and Darui face off against Kinkaku and Ginkaku, the legendary brothers from the Hidden Cloud, feared even by the Raikage. Using the Five Treasured Tools of the Sage of Six Paths, the brothers quickly defeat Atsui and Samui, leaving Darui to fight on his own."
270,12,28,"""Golden Bonds""Transcription: ""Konjiki no Kizuna"" (Japanese: 金色の絆)",Shigeki Kawai,Masahiro Hikokubo,2012-07-19,2014-11-29,7.9,289,"Having transformed into a pseudo-Nine-Tails in response to his brother being sealed, Kinhaku starts his rampage with Darui's division unable to content with the stronger foe despite their attempts. At the headquarters, Mabui, A's handpicked secretary, uses her object teleportation jutsu to transfer the sealing pot known as the Kohaku no Johei to Darui. Still at the coastline, the Kohaku no Johei arrives and so is the half of the Fourth Division to assist Darui's division. Darui manages to seal Kinkaku with the help of Ino-Shika-Cho. But Kakuzu arrives to face ..."
271,12,29,"""Road to Sakura"" (Japanese: ROAD TO SAKURA)",Yuusuke Onoda,Yuka Miyata,2012-07-26,2014-12-06,5.8,228,Sakura falls from a great height and gets amnesia. Ino tries to help her remember.
272,12,30,"""Mifune vs. Hanzō"" (Japanese: ミフネVS半蔵)",Tsuneo Tominaga,Katsuhiko Chiba,2012-08-02,2014-12-13,7.8,308,"As the Surprise Attack Division attempt to retreat the the rendezvous point, they are chased by Akatsuki's reinforcements. Summoning his salamander Ibuse, Hanzou orders it to attack. Unleashing a paralyzing mist of poison, the division is rendered paralyzed and left at Hanzou's mercy. However Mifune and his division soon arrive and he deflects the would-be devastating blow. Conversing about the past and the paths they had chosen to walk, as the two trade blows, Mifune is able to break Hanzou's sickle and respirator. Finally remembering his encounter with Mifune in ..."
273,12,31,"""True Kindness""Transcription: ""Hontō no Yasashisa"" (Japanese: 本当 の優しさ)",Kanryou Kishikawa,Yasuyuki Suzuki,2012-08-09,2014-12-20,7.3,280,"Izumo and Kotetsu arrive and manage to bind Kakuzu. As they ask Ino-Shika-Cho to help seal the constrained Kakuzu, Shikaku interferes and tells them to handle Kakuzu with Darui whilst Ino-Shika-Cho confront their sensei Asuma Sarotobi. They recall their previous spar with Asuma when they're genin and Asuma lecturing Choji about his kindness. Shikamaru also recollects his past in protecting his comrades and Ino thinking about Asuma's last words which she should must guide Shikamaru and Choji. Other ninjas try to subdue Asuma but they were failed and the Ino-Shika-Cho ..."
274,12,32,"""The Complete Ino-Shika-Cho Formation!""Transcription: ""Kanpeki na Inoshikachō!!"" (Japanese: 完璧な猪鹿蝶!!)",Kiyomu Fukuda,Yasuyuki Suzuki,2012-08-09,2014-12-27,7.6,287,"The reunion of Ino-Shika-Cho to their sensei Asuma continues as Choji somewhat loses his will to fight. Ino manages to enter Choji's mind and tells that the meaning of their earrings that Asuma gave to them years ago. After Shikamaru recalling Asuma's last words, he scolded Choji and telling that they're not the ones to be protected but to stand up and protect others. Choji continues to recollect his past, about his kindness and the oath of being the next head of the Akamichi clan, and the butterfly who started as a simple yet kind caterpillar. Filled by his resolve, ..."
275,12,33,"""A Message from the Heart""Transcription: ""Kokoro no Naka no Tegami"" (Japanese: 心の中の手紙)",Mitsutaka Noshitani,Shin Yoshida,2012-08-16,2015-01-03,8,305,"Naruto leaves his training hall but being blocked by shinobi guards. Aburame Shibi insists Naruto to go back but Iruka arrives and attempts to fool Naruto. However, Naruto didn't believe on Iruka and using his Sage Mode he manages to leave the cave. Naruto was restrained via a shadow jutsu and Iruka continues to convince Naruto. Iruka gives Naruto's headband which he is about to restrain Naruto, but Naruto overpowers the group and leaves. On his headband, Naruto reads the letter from Iruka telling that he should come back alive. Iruka asks Bee a favor to protect him. ..."
276,13,1,"""Attack of the Gedo Statue""Transcription: ""Gedō Mazō no Shūrai"" (Japanese: 外道魔像の襲来)",Hideki Takayama,Katsuhiko Chiba,2012-08-23,2015-01-10,7.9,281,"With Kakashi's return, Naruto resumes training for his new jutsu. Kakashi explains that the transformation training will enter the next stage."
277,13,2,"""Unison Sign""Transcription: ""Wakai no In"" (Japanese: 和解の印)",Masaaki Kumagai,Masahiro Hikokubo,2012-08-30,2015-01-17,7.4,276,"Naruto and Nine Tails engage in a heated conversation. Nine Tails continues to berate Naruto about hatred and Sasuke's hatred. They recall Naruto's first spar with Sasuke which Naruto didn't do anything but to continue raise Sasuke's anger in Nine Tails' opinion. Naruto fully confronts Nine Tails telling him that he will manage to do something about the ensuing war, Sasuke's hatred and even Nine Tails' hatred."
278,13,3,"""Medic Ninja in Danger""Transcription: ""Nerawareta Iryō Ninja"" (Japanese: 狙われた医療忍者)",Tsuneo Tominaga,Yasuyuki Suzuki,2012-09-06,2015-01-24,7.4,273,"As night falls in the Ninja War, Madara's next phase with White Zetsu begins. Over at the Medical Unit camp, Sakura and the other medic ninja work nonstop to treat the wounded. Neji is there to recover from overusing his Byakugan."
279,13,4,"""White Zetsu's Trap""Transcription: ""Shiro Zetsu no Torappu"" (Japanese: 白ゼツの罠)",Yuusuke Onoda,Shin Yoshida,2012-09-13,2015-01-31,7.1,214,"Kiba, Hinata and Shino get trapped in a cave that seems to act like a hole in the barrier. What really awaits them is white zestu's sinister plan to take them down and further infiltrate the camp."
280,13,5,"""Aesthetics of an Artist""Transcription: ""Geijutsuka no Bigaku"" (Japanese: 芸術家の美学)",Shigeki Kawai,Katsuhiko Chiba,2012-09-20,2015-02-07,6.8,210,"Back at the Fifth Company's camp, Kurotsuchi attempts to negotiate with the captive Deidara to find out Kabuto's location, but is quickly rebuffed. When Deidara learns that Sasuke survived his ultimate art explosion, he plans an escape with help from a White Zetsu."
281,13,6,"""The Allied Mom Force!!""Transcription: ""Kā-chan Rengōgun!!"" (Japanese: 母ちゃん連合軍!!)",Kiyomu Fukuda,Yasuyuki Suzuki,2012-09-27,2015-02-14,5.4,204,"Konohamaru participates in a meeting organized by Ebisu in Konoha of the remaining villagers, mostly including the children and wives. Ebisu attempts to rally everyone's' spirits together in the event that rogue ninja should attack the village while their shinobi families are away at war, but the mothers scoff and claim that they will protect the village as they always have while their husbands fought. Suddenly Konohamaru is approached by several children, each claiming to have seen terrifying rogue ninja roaming the east and west forests outside Konoha. He tries to ..."
282,13,7,"""The Secret Origin of the Ultimate Tag Team!""Transcription: ""Hiwa: Saikyō Taggu!!"" (Japanese: 秘話・最強タッグ!!)",Hisashi Ishii,Masahiro Hikokubo,2012-10-04,2015-02-21,7.7,276,"Tsunade and the Raikage arrive to prevent Naruto and Killer Bee from joining the battle. But the two Kage fail to convince the Jinchuriki to turn back, forcing the Raikage to use extreme force."
283,13,8,"""Two Suns""Transcription: ""Futatsu no Taiyō!!"" (Japanese: 二つの太陽!!)",Jun Nakagawa,Masahiro Hikokubo,2012-10-11,2015-02-28,8.1,303,Fourth Raikage Ay attacks Naruto in an attempt to prevent the Jinchuriki from falling into Madara's hands. Ay is unwilling to listen to either Tsunade or Killer Bee's pleas to change his mind.
284,13,9,"""The Helmet Splitter: Jinin Akebino!""Transcription: ""Kabutowari! Akebino Jinin"" (Japanese: 兜割! 通草野餌人)",Kanryou Kishikawa,Junki Takegami,2012-10-18,2015-03-07,7.2,211,"During the night, Kakashi tells his squad to take a rest but maintain their awareness. Two shinobi arrive from HQ bringing an enormous item to Kakashi and then he hands it over to Sai, with Lee assigned to be his bodyguard, to aid in sealing the reanimated ninja. Sai becomes stressful as he recalls a seal variation of his Super Beast Scroll ability that requires emotional energy that can be harmful if not in a controlled state of mind. At dawn, the reanimated ninja sprawl out and resume killing Allied ninja on the field. Among the enemies is Akebino Jinin who is being..."
285,13,10,"""User of the Scorch Style: Pakura of the Sand!""Transcription: ""Shakuton Tsukai! Sunagakure no Pakura"" (Japanese: 灼遁使い! 砂隠れのパクラ)",Masaaki Kumagai,Katsuhiko Chiba,2012-10-25,2015-03-14,6.7,202,"In a flashback, the Hidden Sand Village celebrates Pakura for her victory against the Hidden Stone village. Maki, Pakura's student, wants to train with her despite being tired from the previous skirmish and Pakura praises Maki for her fighting prowess. After their sparring match, Pakura advises Maki to be strong so she can protect her loved ones and the village. Meanwhile, in a meeting of Hidden Sand officials they stress about a truce with the Hidden Mist village despite it is against in their favor and suggest Pakura to solve the issue. However, as Maki was told, ..."
286,13,11,"""Things You Can't Get Back""Transcription: ""Torimodosenai mono"" (Japanese: 取り戻せないもの)",Mitsutaka Noshitani,Junki Takegami,2012-11-01,2015-03-21,6.4,193,Tsunade takes the third Raikage one-on-one at Skandenberg.
287,13,12,"""One Worth Betting On""Transcription: ""Kakeru ni Ataisuru mono"" (Japanese: 賭けるに値する者)",Sumito Sasaki,Junki Takegami,2012-11-01,2015-03-28,6.2,195,"As she listens on to the events of A and his followers ambushed by a ninja group known as the Nokizaru, Tsunade realizes the nature of the insect as a bomb with another inside A. After explaining this and having A make a promise to her, Tsunade catches and destroys a bug which had been hovering near A for some time - unbeknownst to them that the Nokizaru had been using it as a method to spy on them. Preparing to operate, Tsunade has Shizune lead the surgery while she oversaw it. Though A initially protested, believing that Tsunade should perform the surgery, the ..."
288,13,13,"""Danger: Jinpachi and Kushimaru!""Transcription: ""Kyōi, Jinpachi - Kushimaru Konbi!!"" (Japanese: 脅威、甚八・串丸コンビ!!)",Kiyomu Fukuda,Masahiro Hikokubo,2012-11-08,2015-04-04,6.6,208,Kakashi races to the scene where the Seven Ninja Swordsmen Kushimaru Kuriarare and Jinpachi Munashi were last sighted.
289,13,14,"""The Lightning Blade: Ameyuri Ringo!""Transcription: ""Raitō!! Ringo Ameyuri"" (Japanese: 雷刀!! 林檎雨由利)",Yoshihide Ibata,Shin Yoshida,2012-11-15,2015-04-11,6.7,208,"As Guy and Kakashi prepare to regroup their forces, they receive word that one of the units were engaged in battle with Ameyuri Ringo and decide to head to that location. Elsewhere, Ameyuri merciless attacks the members of Yurui's unit. With Yurui dead and only a handful of members left, the new leader of the team Nurui decides that they should escape as they were no match for one of the Seven Ninja Swordsmen of the Mist. As they flee, Omoi who believes that they should stand and fight, gets into an argument with Nurui and Kayui tries to quell the argument, but, Omoi ..."
290,13,15,"""Power - Episode 1"" (Japanese: 「力-Chikara-」episode1)",Toshiyuki Tsuru,Toshiyuki Tsuru,2012-11-22,2015-04-18,6.6,219,"Taking place in the aftermath of the Kage Summit, Team Kakashi is sent out on a mission by Tsunade to a location known as ""The Hole"" to investigate an incident where its people were killed. Regretting that she could not assign more people to the mission because of recent incidents elsewhere, the team sets out nonetheless. While there, they split up into two teams, with Yamato and Sai encountering officers from the neighboring Hachou Village where Shiseru and her team, after learning they are from Konoha shinobi, escort them to their village leader Disonasu. Elsewhere,..."
291,13,16,"""Power - Episode 2"" (Japanese: 「力-Chikara-」episode2)","Masaaki Kumagai,Chikara Sakurai,Toshiyuki Tsuru",Toshiyuki Tsuru,2012-11-29,2015-04-25,6.4,209,"While investigating the village near Tonika, Kabuto confronts Naruto. An epic battle erupts as Kabuto uses the forbidden Reanimation Jutsu against Naruto. In the meantime, Dokku and the five survivors lie low at the village where Mina learns a particular melody that she keeps playing on the xylophone. Naruto manages to get to know Dokku and the children despite an initial misunderstanding. As they talk, he learns about the legend surrounding the Hole and the Mystic Power."
292,13,17,"""Power - Episode 3"" (Japanese: 「力-Chikara-」episode3)",Yuu Yamashita,Toshiyuki Tsuru,2012-12-06,2015-05-02,6.8,216,"Naruto and Sakura decide to stay at Shiseru's house overnight to help watch over the survivors. Although the children cry and miss their deceased parents, Dokku and Shiseru try hard to bring everyone together as a new family. Suddenly Naruto falls gravely ill, and Mina demands that he leave at once."
293,13,18,"""Power - Episode 4"" (Japanese: 「力-Chikara-」episode4)",Toshiyuki Tsuru,Toshiyuki Tsuru,2012-12-13,2015-05-09,6.4,211,"A clone possessing the Nine Tails' chakra emerges from Naruto's body. Seeking more power, the clone goes on a rampage, destroying everything in its path. Will the Leaf ninja be able to stop this powerful clone?!"
294,13,19,"""Power - Episode 5"" (Japanese: 「力-Chikara-」episode5)",Kazunori Mizuno,Toshiyuki Tsuru,2012-12-20,2015-05-16,6.7,213,"The Saezuri is revealed and activated. Exposing Kabuto is exposed as the true enemy, and summons the Nine-Tailed Naruto Clone, Hidan, and Deidara. Naruto and his team mates become engaged in a fierce battle."
295,13,20,"""Power - Final Episode"" (Japanese: 「力-Chikara-」episode Final)",Toshiyuki Tsuru,Toshiyuki Tsuru,2013-01-10,2015-05-23,7.2,234,"The Nine-Tailed Naruto Clone mutates into a hydra-tail nearly completely taking over Naruto's consciousness. Meanwhile, Dokku and Shiseru decide to sacrifice themselves to deactivate the Ama no Hoko."
296,14,1,"""Naruto Enters the Battle!""Transcription: ""Naruto, Sansen!!"" (Japanese: ナルト、参戦!!)",Jun Nakagawa,Yasuyuki Suzuki,2013-01-17,2015-05-30,7.7,327,Naruto enters the battle to defeat the white zetsu's impostors. Naruto uses a range of new techniques.
297,14,2,"""A Father's Hope, A Mother's Love""Transcription: ""Chichi no Omoi, Haha no Ai"" (Japanese: 父の想い、母の愛)",Mitsutaka Noshitani,Shin Yoshida,2013-01-24,2015-06-06,8.4,368,Gaara engages the four Kage including his father. Gaara updates his father on his life. Gaara's father is in shock and chooses to test Gaara's strength.
298,14,3,"""Contact! Naruto vs. Itachi""Transcription: ""Tsuini Sesshoku!! Naruto VS Itachi"" (Japanese: ついに接触!! ナルトVSイタチ)",Sumito Sasaki,Yasuyuki Suzuki,2013-01-31,2015-06-13,7.8,623,Nagato and Itachi meet Naruto and Killer Bee while under Kabuto's control. They are forced into battle and Itachi is able to free himself from the control of Kabuto.
299,14,4,"""The Acknowledged One""Transcription: ""Mitomerareshi Mono"" (Japanese: 認められし者)",Hidetoshi Takahashi,Yasuyuki Suzuki,2013-02-07,2015-06-20,8.5,408,Naruto is on the verge of losing his soul to Nagato. Killer Bee and Itachi come to his rescue.
300,14,5,"""The Mizukage, the Giant Clam, and the Mirage""Transcription: ""Mizukage to Ōhamaguri to Shinkirō"" (Japanese: 水影と蜃（おおはまぐり）と蜃気楼)",Shigeki Kawai,Katsuhiko Chiba,2013-02-14,2015-06-27,8,310,"The Second Mizukage and the Third Raikage unleash havoc on the Shinobi forces. The Second Mizukage summons a giant clam that creates a mirage. Gaara faces of against Mu and the shinobi platoon fight the Second Mizukage. Naruto attacks Mu with his Planetary Rasengan. Meanwhile, the Second Mizukage argues with the platoon that they should not attack what they see him and the clam. Gaara arrives and manages to sense the location of the giant clam and Onoki delivers a powerful Earth style punch despite running low on chakra. However Onoki gets exhausted and the Second ..."
301,14,6,"""Paradox""Transcription: ""Mujun"" (Japanese: 矛盾)",Hisashi Ishii,Masahiro Hikokubo,2013-02-21,2015-07-04,8.3,326,A viscous battle against the third Raikage begins. Can the Shinobi Forces seal one of the strongest shinobis of all time.
302,14,7,"""Terror: The Steam Imp""Transcription: ""Kyōfu – Jōki Bōi"" (Japanese: 恐怖・蒸危暴威（ジョウキボーイ）)",Kanryou Kishikawa,Junki Takegami,2013-02-28,2015-07-11,7.8,279,"The battle against the Second Mizukage rages on. Elsewhere, everything has come to a standstill in the face of many White Zetsu clones infiltrating shinobi ranks, especially at the Logistical Support and Medical Divisions."
303,14,8,"""Ghosts from the Past""Transcription: ""Kako no Bōrei"" (Japanese: 過去の亡霊)",Kazunori Mizuno,Masahiro Hikokubo,2013-03-07,2015-07-18,6.7,211,"Otogakure's Sound Four is reincarnated on the battlefield. The now grown up members of the Sasuke Retrieval Team dominate their opponents. However, a seal activates around the defeated shinobi and Kiba, Akamaru, Neji, Shikamaru, and Choji."
304,14,9,"""The Underworld Transfer Jutsu""Transcription: ""Yomi Tenshin no Jutsu"" (Japanese: 黄泉転身（よみてんしん）の術)",Yoshihide Ibata,Masahiro Hikokubo,2013-03-14,2015-07-25,6.3,208,"Neji, Shikamaru, Choji, Kiba, and Akamaru arrive in another location surrounded by the sound four. Whom seem a lot stronger than before."
305,14,10,"""The Vengeful""Transcription: ""Fukushūsha"" (Japanese: 復讐者)",Jun Nakagawa,Masahiro Hikokubo,2013-03-21,2015-08-08,6.6,202,Time is running out for the Leaf shinobi whose souls are trapped inside the Sound Four's barrier. Ino and Shino exhaust their own chakra to keep their friends alive.
306,14,11,"""The Heart's Eye""Transcription: ""Kokoro no Me"" (Japanese: 心の目)",Shigeki Kawai,Shin Yoshida,2013-03-28,2015-08-15,6.3,203,"Hinata remembers the time that Neji protected her when they were younger, when Neji was left in charge of Hinata's training."
307,14,12,"""Fade into the Moonlight""Transcription: ""Gekkō ni Kiyu"" (Japanese: 月光に消ゆ)",Sumito Sasaki,Yuka Miyata,2013-04-04,2015-08-22,6.4,214,"Summoning a confused Hayate Gekko, who died at the time of the Chunnin exams, Kabuto pairs him up with a cloud and sound ninja and sends them into battle."
308,14,13,"""Crescent Moonlight""Transcription: ""Mikazuki no Yoru"" (Japanese: 三日月の夜)",Hidetoshi Takahashi,Yuka Miyata,2013-04-11,2015-08-29,6.4,202,Hayate fights against Yugao in a battle of swords.
309,14,14,"""The A-Rank Mission: Food Fight""Transcription: ""Ē-Ranku Ninmu: Gozen Jiai"" (Japanese: A級任務・御膳試合)",Mitsutaka Noshitani,Katsuhiko Chiba,2013-04-18,2015-09-05,5.5,194,"Naruto arrives to help a team of Allied Shinobi Forces led by Karui, who are struggling against a reanimated samurai, whom Naruto recognizes as a man named Tatewaki he met on a previous mission. A flashback entails."
310,14,15,"""The Fallen Castle""Transcription: ""Rakujō"" (Japanese: 落城)",Masaaki Kumagai,Katsuhiko Chiba,2013-04-25,2015-09-12,5.7,191,Naruto's flashback of Tatewaki continues.
311,14,16,"""Prologue of Road to Ninja"" (Japanese: PROLOGUE OF ROAD TO NINJA)",Kazunori Mizuno,Yuka Miyata,2013-05-02,2015-09-19,7.5,256,"This episode is a Prologue to the Naruto Shippuden movie 'Road to Ninja'. It begins with Tobi speaking with Zetsu about testing out a limited, trial-version of the ""Infinite Tsukuyomi""."
312,14,17,"""The Old Master and the Dragon's Eye""Transcription: ""Rōjin to Ryū no Me"" (Japanese: 老人と龍の目)",Naoki Horiuchi,Hideto Tanaka,2013-05-09,2015-09-26,5.6,197,"Still searching thoroughly for any remaining factions of the enemy, the Third Division came across another reincarnated shinobi: Master Chen - a renown hero of Konohagakure who was thought to have died during the Third Shinobi World War."
313,14,18,"""Rain Followed by Snow, with Some Lightning""Transcription: ""Ame Nochi Yuki, Tokidoki Kaminari"" (Japanese: 雨のち雪, ときどき雷)",Kanryou Kishikawa,Yasuyuki Suzuki,2013-05-16,2015-10-03,5,217,A young boy called Yota appears in three different places in front of the people he once knew. Yota is gifted in regards to weather abilities.
314,14,19,"""The Sad Sun Shower""Transcription: ""Kanashī Tenkiame"" (Japanese: 悲しい天気雨)",Fumiaki Usui,Yasuyuki Suzuki,2013-05-23,2015-10-10,5.2,199,Another Yota appears in front of Naruto who suspects the one in front of him is the only real Yota.
315,14,20,"""Lingering Snow""Transcription: ""Nagoriyuki"" (Japanese: 名残雪)",Hisashi Ishii,Yasuyuki Suzuki,2013-05-30,2015-10-17,5.8,196,The flashbacks of Yota continue until the leaf ninja finally put an end to the story of Yota.
316,14,21,"""The Reanimated Allied Forces""Transcription: ""Edo Tensei Rengōgun!!"" (Japanese: 穢土転生連合軍!!)",Sumito Sasaki,Katsuhiko Chiba,2013-06-06,2015-10-24,6.2,202,Kabuto summons his group of 'failed attempts' to recover his power ninja who have been sealed.
317,14,22,"""Shino vs. Torune!"" (Japanese: シノVSトルネ!!)",Shigeki Kawai,Katsuhiko Chiba,2013-06-13,2015-10-31,6.6,203,Shino verses a gifted reincarnated relative from the foundation.
318,14,23,"""A Hole in the Heart: The Other Jinchuriki""Transcription: ""Kokoro no Ana - Mō Hitori no Jinchūriki"" (Japanese: 心の穴 もう一人の人柱力)",Hiroaki Nishimura,Shin Yoshida,2013-06-20,2015-11-07,6.2,196,"Fukai, the previous host of the eight tails, appears to fight Bee.Killer Bee is overconfident until Fukai reveals that he still has the eight tails chakra."
319,14,24,"""The Soul Living Inside the Puppet""Transcription: ""Kugutsu ni Yadoru Tamashī"" (Japanese: 傀儡に宿る魂)",Kazunori Mizuno,Masahiro Hikokubo,2013-06-27,2015-11-14,6.7,206,The Fifth Division led by Mifune is confronted by the reanimated Kimimaro. While Kankuro fights against lady Chiyo.
320,14,25,"""Run, Omoi!""Transcription: ""Hashire Omoi"" (Japanese: 走れオモイ)",Kazuma Satou,Yasuyuki Suzuki,2013-07-04,2015-11-21,6.4,212,Thousands of White Zetsu overrun a group of ninja. Seven child ninja from the cloud head towards the battle as reinforcements. When Omoi hears this he runs of to find the children.
321,15,1,"""Reinforcements Arrive""Transcription: ""Zōen tōchaku"" (Japanese: 増援到着)",Naoki Horiuchi,Katsuhiko Chiba,2013-07-18,2015-11-28,8.1,322,Naruto's Kage Bunshin finally arrives at every battlefield to help identify the White Zetsus. An unexpected and shocking surprise is revealed.
322,15,2,"""Madara Uchiha""Transcription: ""Uchiha Madara"" (Japanese: うちはマダラ)",Hiroyuki Yamashita,Shin Yoshida,2013-07-25,2015-12-05,8.9,1697,"Madara is revived through Edo Tensei, Kazekage Gaara and Tsuchikage Ônoki are forced to fight him."
323,15,3,"""The Five Kage Assemble""Transcription: ""Gokage Shūketsu...!!"" (Japanese: 五影集結...!!)",Yoshihiro Sugai,Yuka Miyata,2013-08-01,2015-12-12,7.7,561,"Hokage Tsunade, Raikage A and Mizukage Mei joins Kazekage Gaara and Tsuchikage Ônoki in the battlefield to fight against Edo Tensei Madara."
324,15,4,"""The Unbreakable Mask and the Shattered Bubble""Transcription: ""Warenai Kamen — Wareta Shabondama"" (Japanese: 割れない仮面・割れたシャボン玉)",Masaaki Kumagai,Junki Takegami,2013-08-08,2015-12-18,7.8,303,"Naruto and Killer B meet Tobi and the six former Jinchûriki revived through Edo Tensei. The story of how Akatsuki captured the Rokubi Jinchûriki, Utakata, is shown (filler)."
325,15,5,"""Jinchūriki vs. Jinchūriki!!"" (Japanese: 人柱力VS人柱力!!)",Hisashi Ishii,Yasuyuki Suzuki,2013-08-15,2015-12-24,8.1,307,Naruto and Killer B fights against Tobi and the six Jinchûriki that now holds the power of the six Pain.
326,15,6,"""Four Tails, the King of Sage Monkeys""Transcription: ""Yonbi — Sen'en no Ō"" (Japanese: 四尾・仙猿（せんえん）の王)",Naomi Nakayama,Katsuhiko Chiba,2013-08-22,2015-12-31,8.3,312,"Naruto, Killer B and the Hachibi receives aid from Kakashi and Gai to fight the Jinchûriki in biju mode. Meanwhile, Sasuke decides to go outside and test his new eyes."
327,15,7,"""Nine Tails""Transcription: ""Kyūbi"" (Japanese: 九尾)",Hiroaki Nishimura,Yuka Miyata,2013-08-29,2016-01-07,7.3,305,Kurama the Kyûbi recalls his struggle to release himself from the seal through Naruto's life.
328,15,8,"""Kurama"" (Japanese: 九喇嘛)",Shigeki Kawai,Yuka Miyata,2013-08-29,2016-01-14,7.9,344,"For years, Naruto was the target of Nine-Tails' undying hatred. But their time together has made Nine Tails understand Naruto more than anyone."
